Taxonomy	mean(group1)	variance(group1)	stderr(group1)	mean(group2)	variance(group2)	stderr(group2)	p.value	q.value	LPS_1	LPS_2	LPS_3	LPS_4	LPS_5	LPS+BS_1	LPS+BS_2	LPS+BS_3	LPS+BS_4	LPS+BS_5
k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenella	0.000065	0	0.000029	0.000017	0	0.000011	0.137754	0.221937	0	2	2	8	3	0	2	0	2	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0.005856	0.000008	0.001273	0.011891	0.000081	0.004028	0.169211	0.265249676	229	501	201	195	226	107	102	945	892	704
k__Bacteria;p__Firmicutes;c__Clostridia;o__unidentified_Clostridia;f__Oscillospiraceae;g__Intestinimonas	0.00013	0	0.000093	0.000389	0	0.00016	0.179772	0.274388842	2	23	3	2	0	0	0	27	33	30
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia	0.000086	0	0.000034	0.000035	0	0.000016	0.187702	0.279146564	1	0	8	7	4	0	0	2	2	4
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella	0.038912	0.004079	0.028563	0.000977	0	0.000096	0.200895	0.29129775	257	7025	541	513	611	39	31	55	51	50
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus	0.006824	0.000072	0.003807	0.020678	0.000527	0.010267	0.224	0.316878049	88	1010	158	151	164	2236	1992	191	203	157
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__unidentified_Rhodospirillales;g__unidentified_Rhodospirillales	0.000139	0	0.000139	0.000393	0	0.000157	0.240351	0.331913286	0	32	0	0	0	2	0	23	33	33
k__Bacteria;p__Firmicutes;c__Clostridia;o__unidentified_Clostridia;f__Anaerovoracaceae;g__Anaerovorax	0.000589	0	0.000086	0.001068	0.000001	0.000406	0.267386	0.360660186	13	34	30	25	34	5	3	90	76	73
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium	0.000843	0.000002	0.000641	0.000134	0	0.000064	0.293754	0.387221182	158	0	8	18	12	0	0	14	12	5
k__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__Anaeroplasma	0.000523	0.000001	0.000501	0	0	0	0.322246	0.415339289	0	116	0	0	4	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.001786	0.000015	0.001721	0.003719	0.000006	0.001138	0.390035	0.486689106	3	398	2	4	3	46	41	273	249	251
k__Bacteria;p__Firmicutes;c__Clostridia;o__unidentified_Clostridia;f__Ruminococcaceae;g__Paludicola	0.000125	0	0.00004	0.000074	0	0.000039	0.394386	0.486689106	11	1	9	3	5	0	0	9	6	2
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella	0.001095	0	0.00013	0.000917	0	0.000229	0.540877	0.653559708	55	71	49	38	40	15	19	56	67	55
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__unidentified_Erysipelotrichales;g__Erysipelatoclostridium	0.001326	0.000001	0.000345	0.000986	0.000001	0.000385	0.553684	0.655381061	34	123	51	50	48	4	3	73	89	59
k__Bacteria;p__Firmicutes;c__Clostridia;o__unidentified_Clostridia;f__unidentified_Clostridia;g__unidentified_Clostridia	0.000897	0.000003	0.000817	0.000367	0	0.000132	0.57014	0.6613624	12	191	1	0	2	3	2	22	26	32
k__Bacteria;p__Firmicutes;c__Clostridia;o__unidentified_Clostridia;f__Oscillospiraceae;g__Colidextribacter	0.007505	0.000003	0.000757	0.006001	0.000029	0.002405	0.60114	0.683649412	258	461	322	377	316	6	9	482	487	404
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus	0.000928	0.000001	0.000398	0.000696	0	0.000145	0.629123	0.701714115	34	115	21	22	22	17	17	50	43	34
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.018264	0.000283	0.00753	0.014345	0.000013	0.001619	0.653368	0.715006491	449	2219	547	470	525	485	490	818	821	703
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia	0.000547	0.000001	0.000352	0.000666	0	0.000118	0.773035	0.830296852	19	89	5	6	7	39	48	19	24	24
k__Bacteria;p__Firmicutes;c__Clostridia;o__unidentified_Clostridia;f__Ruminococcaceae;g__Ruminococcus	0.000828	0.000003	0.000806	0.001055	0.000001	0.000431	0.812877	0.857215745	0	186	2	1	1	0	0	80	79	85
k__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Ureaplasma	0.000061	0	0.00005	0.000052	0	0.000022	0.872825	0.903997321	1	12	0	1	0	0	0	4	5	3
k__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Spirochaetota;c__unidentified_Spirochaetota;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
